Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
265, 0.0526128, 4, 80, 103491, 238337
266, 0.0499822, 5, 80, 103491, 238337
267, 0.0474831, 4, 82, 103491, 238337
268, 0.0451089, 6, 81, 105015, 236544
269, 0.0428535, 6, 82, 104228, 236544
270, 0.0407108, 1, 88, 104228, 236544
271, 0.0386753, 0, 89, 104228, 236544
272, 0.0367415, 6, 84, 104228, 236544
273, 0.0349044, 4, 87, 103702, 236544
274, 0.0331592, 1, 91, 103702, 236544
275, 0.0315013, 2, 91, 103702, 236544
276, 0.0299262, 5, 89, 103667, 236544
277, 0.0284299, 2, 93, 103667, 236544
278, 0.0270084, 3, 93, 103667, 236544
279, 0.025658, 3, 94, 103667, 236544
280, 0.0243751, 2, 96, 103667, 236544
281, 0.0231563, 5, 94, 103471, 236544
282, 0.0219985, 5, 95, 103471, 236544
283, 0.0208986, 7, 94, 103471, 236544
284, 0.0198536, 3, 99, 103452, 236544
285, 0.018861, 3, 100, 103452, 236544
286, 0.0179179, 5, 99, 103452, 236544
287, 0.017022, 3, 102, 103452, 236544
288, 0.0161709, 3, 103, 103452, 236544
289, 0.0153624, 7, 100, 103452, 236544
290, 0.0145943, 5, 103, 103452, 236544
291, 0.0138645, 4, 105, 104732, 235980
292, 0.0131713, 4, 106, 104732, 235980
293, 0.0125127, 5, 106, 105775, 234954
294, 0.0118871, 5, 107, 105600, 234384
295, 0.0112928, 7, 106, 104976, 234384
296, 0.0107281, 2, 113, 102386, 236269
297, 0.0101917, 6, 110, 102318, 236269
